Country,Admin1,Admin2,uid,Population,Week0,Week1,Week2,Week3,Week4,Week5,Week6
Kenya,Nyanza,Homa Bay,gbepWpyaGdj,963794,45,33,31,29,27,25,25
Kenya,Central,Kiambu,A0BC4zSGPwM,1623282,76,65,62,58,54,51,51
Kenya,Central,Kirinyaga,gn42ZCLVhzf,528054,25,16,15,14,14,13,13
Kenya,Central,Murang'a,SeUHzwEWOUn,942581,44,33,31,29,27,25,25
Kenya,Coast,Taita Taveta,I5jmTunFZY2,284657,13,16,15,14,14,13,13
Kenya,Central,Nyandarua,mVgMb1mDaDX,596268,28,33,31,29,27,25,25
Kenya,North Eastern,Mandera,inIsXJ57Si9,1025756,48,49,46,43,41,38,38
Kenya,Central,Nyeri,IZOS05Z8QAL,693558,32,33,31,29,27,25,25
Kenya,North Eastern,Wajir,q93HBF7r7P4,661941,31,33,31,29,27,25,25
Kenya,Coast,Kilifi,ZIMjWiBet30,1109735,52,49,46,43,41,38,38
Kenya,Nyanza,Kisii,OCzaanZX0v0,1152282,54,49,46,43,41,38,38
Kenya,Coast,Kwale,yBnmZCQmDeX,649931,30,33,31,29,27,25,25
Kenya,Coast,Lamu,Nx2P930hOHB,101539,5,0,0,0,0,0,0
Kenya,Coast,Mombasa,S0nWEBcp4qo,939370,44,33,31,29,27,25,25
Kenya,Coast,Tana River,RP7IFVrrOux,240075,11,16,15,14,14,13,13
Kenya,Eastern,Embu,h8m60u0XlJf,516212,24,16,15,14,14,13,13
Kenya,Rift Valley,Bomet,sphpbVxO6pn,724186,34,33,31,29,27,25,25
Kenya,Eastern,Isiolo,WdtNaOc3FbT,143294,7,0,0,0,0,0,0
Kenya,Eastern,Kitui,zF5mSLNG4Cl,1012709,47,49,46,43,41,38,38
Kenya,Eastern,Machakos,XFTvFUirnjA,1098584,51,49,46,43,41,38,38
Kenya,Rift Valley,Kajiado,iO2edHMzzoa,687312,32,33,31,29,27,25,25
Kenya,Eastern,Makueni,M5TOiiYVWwN,884527,41,33,31,29,27,25,25
Kenya,Rift Valley,Trans Nzoia,oSVLBSVLtZi,818757,38,33,31,29,27,25,25
Kenya,Rift Valley,Turkana,Toe5zU8RLT5,855399,40,33,31,29,27,25,25
Kenya,Eastern,Marsabit,UHkc4iGio0L,291166,14,16,15,14,14,13,13
Kenya,Eastern,Meru,xy2ubunOGVi,1356301,64,65,62,58,54,51,51
Kenya,Eastern,Tharaka Nithi,jN4aiIfSLRL,365330,17,16,15,14,14,13,13
Kenya,Nairobi,Nairobi County,DW4iKNGrY42,3138369,147,130,123,116,109,101,101
Kenya,North Eastern,Garissa,qIpTCaEVo8q,623060,29,33,31,29,27,25,25
Kenya,Nyanza,Kisumu,RP2cXnuZq8a,968909,45,49,46,43,41,38,38
Kenya,Nyanza,Migori,H9vJQr39c4B,917170,43,33,31,29,27,25,25
Kenya,Nyanza,Nyamira,sXq9qYR3Q3K,598252,28,33,31,29,27,25,25
Kenya,Nyanza,Siaya,mMORYzJBnzi,885762,41,33,31,29,27,25,25
Kenya,Rift Valley,Baringo,Tbq3JMDALZt,555561,26,16,15,14,14,13,13
Kenya,Rift Valley,Elgeyo Marakwet,kaVgIVGXcf7,369998,17,16,15,14,14,13,13
Kenya,Rift Valley,Kericho,soCirDJfP4S,758339,36,33,31,29,27,25,25
Kenya,Rift Valley,Laikipia,OYaCYF6BNST,399227,19,16,15,14,14,13,13
Kenya,Rift Valley,Nandi,y20aapE6KYr,752965,35,33,31,29,27,25,25
Kenya,Rift Valley,Uasin Gishu,cS6agZiN32t,894179,42,33,31,29,27,25,25
Kenya,Rift Valley,Narok,IBZqPDOCobI,850920,40,33,31,29,27,25,25
Kenya,Western,Vihiga,hhmLIpoAvAg,554622,26,16,15,14,14,13,13
Kenya,Rift Valley,Samburu,nfKmgVvY7zs,223947,10,16,15,14,14,13,13
Kenya,Rift Valley,West Pokot,Y2tnI4r0GkW,512690,24,16,15,14,14,13,13
Kenya,Western,Bungoma,A1gVLZ5bHiS,1375063,64,65,62,58,54,51,51
Kenya,Western,Busia,VljEgS6qanC,743946,35,33,31,29,27,25,25
Kenya,Western,Kakamega,M0xXLu8QbHW,1660651,78,65,62,58,54,51,51
Kenya,Rift Valley,Nakuru,ZFzQpYAw1RT,1603325,75,65,62,58,54,51,51
